gene_id,log2fc,p.adj
jgi|TrebA12_1|10998|rna-gnl|WGS:VXIU|FRX49_02199-mRNA-1_mrna_FRX49_02199,0.06335094,0.004592598
jgi|TrebA12_1|1837|rna-gnl|WGS:VXIU|FRX49_04714-mRNA-1_mrna_FRX49_04714,0.145357047,0.00684639
jgi|TrebA12_1|3818|rna-gnl|WGS:VXIU|FRX49_06318-mRNA-1_mrna_FRX49_06318,4.897707799,0.004618192
jgi|TrebA12_1|3937|rna-gnl|WGS:VXIU|FRX49_06200-mRNA-1_mrna_FRX49_06200,1.262576501,0.007537954
jgi|TrebA12_1|4488|rna-gnl|WGS:VXIU|FRX49_00625-mRNA-1_mrna_FRX49_00625,4.101017049,0.004406177
jgi|TrebA12_1|4562|rna-gnl|WGS:VXIU|FRX49_00657-mRNA-1_mrna_FRX49_00657,3.152393856,0.001069306
jgi|TrebA12_1|5028|rna-gnl|WGS:VXIU|FRX49_07074-mRNA-1_mrna_FRX49_07074,4.92563396,0.006400684
jgi|TrebA12_1|5098|rna-gnl|WGS:VXIU|FRX49_06885-mRNA-1_mrna_FRX49_06885,0.477656819,0.009132821
jgi|TrebA12_1|6179|rna-gnl|WGS:VXIU|FRX49_08075-mRNA-1_mrna_FRX49_08075,4.695060002,0.002768415
jgi|TrebA12_1|7274|rna-gnl|WGS:VXIU|FRX49_08893-mRNA-1_mrna_FRX49_08893,1.099062293,0.001133974
jgi|TrebA12_1|10388|rna-gnl|WGS:VXIU|FRX49_11194-mRNA-1_mrna_FRX49_11194,1.148543766,0.006364856
jgi|TrebA12_1|10481|rna-gnl|WGS:VXIU|FRX49_11399-mRNA-2_mrna_FRX49_11399,1.965806292,0.007074849
jgi|TrebA12_1|10573|rna-gnl|WGS:VXIU|FRX49_01972-mRNA-1_mrna_FRX49_01972,0.163536248,0.003934149
jgi|TrebA12_1|10600|rna-gnl|WGS:VXIU|FRX49_02392-mRNA-1_mrna_FRX49_02392,1.59412058,0.002934064
jgi|TrebA12_1|1060|rna-gnl|WGS:VXIU|FRX49_04110-mRNA-1_mrna_FRX49_04110,1.337166781,0.005829467
jgi|TrebA12_1|10721|rna-gnl|WGS:VXIU|FRX49_02765-mRNA-1_mrna_FRX49_02765,2.526224602,9.78E-05
