gene_id,COG_category,GOs,KEGG_Pathway,PFAMs
jgi|Chloso1602_1|10000|rna-gnl|WGS:LHPG|mrna.C2E21_4952,NA,NA,NA,NA
jgi|Chloso1602_1|10001|rna-gnl|WGS:LHPG|mrna.C2E21_4953A_C2E21_4953,NA,NA,NA,NA
jgi|Chloso1602_1|10002|rna-gnl|WGS:LHPG|mrna.C2E21_4953B_C2E21_4953,NA,NA,NA,NA
jgi|Chloso1602_1|10003|rna-gnl|WGS:LHPG|mrna.C2E21_4954,NA,NA,NA,NA
jgi|Chloso1602_1|10004|rna-gnl|WGS:LHPG|mrna.C2E21_4955,Q,-,"ko00052,ko00520,ko01100,map00052,map00520,map01100",GDP_Man_Dehyd
jgi|Chloso1602_1|10005|rna-gnl|WGS:LHPG|mrna.C2E21_4956,NA,NA,NA,NA
jgi|Chloso1602_1|10006|rna-gnl|WGS:LHPG|mrna.C2E21_4957,NA,NA,NA,NA
jgi|Chloso1602_1|10007|rna-gnl|WGS:LHPG|mrna.C2E21_4958,NA,NA,NA,NA
jgi|Chloso1602_1|10008|rna-gnl|WGS:LHPG|mrna.C2E21_4959,NA,NA,NA,NA
jgi|Chloso1602_1|10009|rna-gnl|WGS:LHPG|mrna.C2E21_4960A_C2E21_4960,NA,NA,NA,NA
jgi|Chloso1602_1|1000|rna-gnl|WGS:LHPG|mrna.C2E21_5533,NA,NA,NA,NA
jgi|Chloso1602_1|10010|rna-gnl|WGS:LHPG|mrna.C2E21_4960B_C2E21_4960,NA,NA,NA,NA
jgi|Chloso1602_1|10011|rna-gnl|WGS:LHPG|mrna.C2E21_4961,NA,NA,NA,NA
jgi|Chloso1602_1|10012|rna-gnl|WGS:LHPG|mrna.C2E21_4962,NA,NA,NA,NA
jgi|Chloso1602_1|10013|rna-gnl|WGS:LHPG|mrna.C2E21_4963,NA,NA,NA,NA
jgi|Chloso1602_1|10014|rna-gnl|WGS:LHPG|mrna.C2E21_4964,NA,NA,NA,NA
jgi|Chloso1602_1|10015|rna-gnl|WGS:LHPG|mrna.C2E21_4965,NA,NA,NA,NA
