gene_id,log2fc,p.adj
jgi|Astpho2|140|Aster-04605,2.838263593,0.003834396
jgi|Astpho2|315|Aster-02199,1.445238967,0.001857177
jgi|Astpho2|1169|e_gw1.00021.108.1_t,2.949381786,0.007075999
jgi|Astpho2|2834|Aster-00994,0.730985461,0.002190698
jgi|Astpho2|6665|e_gw1.00101.68.1_t,0.725875971,0.00815137
jgi|Astpho2|6916|Aster-01783,3.807360193,0.006985863
jgi|Astpho2|8054|e_gw1.00120.222.1_t,4.849654003,0.009294321
jgi|Astpho2|8268|Aster-01351,0.1725652,0.007887645
jgi|Astpho2|8293|e_gw1.00122.82.1_t,1.404765709,0.00092457
jgi|Astpho2|8409|e_gw1.00122.191.1_t,4.966622384,0.003563285
jgi|Astpho2|34|gw1.00001.47.1_t,1.753479412,0.006482352
jgi|Astpho2|37|e_gw1.00001.82.1_t,3.940235698,0.00097382
jgi|Astpho2|63|Aster-04538,0.824960702,0.008357886
jgi|Astpho2|101|Aster-x0424,3.54669327,0.006961511
jgi|Astpho2|124|e_gw1.00004.101.1_t,4.379607707,0.00115593
jgi|Astpho2|184|Aster-x0899,2.136597673,0.007572767
jgi|Astpho2|263|e_gw1.00010.19.1_t,1.723572632,0.006535368
jgi|Astpho2|375|gw1.00010.89.1_t,3.682758681,0.003405115
jgi|Astpho2|520|e_gw1.00011.257.1_t,3.598904753,0.008951411
jgi|Astpho2|541|e_gw1.00012.29.1_t,2.572365488,0.006981452
jgi|Astpho2|573|e_gw1.00013.9.1_t,2.950035065,0.006324774
jgi|Astpho2|581|e_gw1.00013.53.1_t,1.201235636,0.002634333
jgi|Astpho2|583|Aster-04437,4.373027309,0.009942734
jgi|Astpho2|604|Aster-x0942,1.804072292,0.008502284
jgi|Astpho2|610|Aster-x0945,0.927176486,0.009761361
jgi|Astpho2|737|e_gw1.00015.6.1_t,3.91154874,0.00836353
jgi|Astpho2|745|e_gw1.00016.173.1_t,2.910970757,0.000709695
jgi|Astpho2|768|Aster-x0967,2.617467368,0.009501236
jgi|Astpho2|1010|e_gw1.00016.106.1_t,3.054462752,0.002029127
jgi|Astpho2|1086|Aster-x0983,1.154072997,0.008951857
jgi|Astpho2|1117|Aster-07666,3.769352436,0.00493517
jgi|Astpho2|1192|e_gw1.00022.26.1_t,0.315557101,0.005974797
jgi|Astpho2|1374|Aster-06231,3.774463802,0.00112238
jgi|Astpho2|1388|e_gw1.00025.109.1_t,3.896939007,0.003444146
jgi|Astpho2|1404|e_gw1.00025.60.1_t,3.876203337,0.001600379
jgi|Astpho2|1545|gw1.00026.99.1_t,2.418839968,0.001460769
jgi|Astpho2|1591|Aster-x0485,4.891350243,0.001416617
jgi|Astpho2|1623|e_gw1.00028.14.1_t,0.217909456,0.00637296
jgi|Astpho2|1767|Aster-x0494,1.18349582,0.006677501
jgi|Astpho2|1847|gw1.00038.301.1_t,1.045363439,0.003322805
jgi|Astpho2|2010|e_gw1.00038.127.1_t,4.869605781,0.000704695
jgi|Astpho2|2011|gw1.00038.419.1_t,3.933094743,0.006349324
jgi|Astpho2|2015|Aster-00517,2.861803584,0.002566668
jgi|Astpho2|2045|Aster-x1032,0.515515013,0.005338343
jgi|Astpho2|2213|gw1.00040.253.1_t,3.001901169,0.001716135
jgi|Astpho2|2215|Aster-x0098,0.169052829,0.005861161
jgi|Astpho2|2216|Aster-x0099,1.747151724,0.008636563
jgi|Astpho2|2262|e_gw1.00040.114.1_t,4.705387049,0.006417311
jgi|Astpho2|2283|Aster-x1062,1.824445109,0.001580346
jgi|Astpho2|2306|Aster-03271,4.831423729,0.001647573
jgi|Astpho2|2339|Aster-05605,4.400183179,0.002286243
jgi|Astpho2|2351|gw1.00044.127.1_t,1.325610434,0.003176899
jgi|Astpho2|2450|e_gw1.00046.6.1_t,1.966965692,0.000338056
jgi|Astpho2|2517|e_gw1.00048.124.1_t,3.876441694,0.000512174
jgi|Astpho2|2521|Aster-x1083,1.073088805,0.002052096
jgi|Astpho2|2558|e_gw1.00048.26.1_t,1.34481832,0.001980658
jgi|Astpho2|2758|e_gw1.00050.124.1_t,4.133635067,0.002395737
jgi|Astpho2|2803|e_gw1.00050.208.1_t,3.78938884,0.009446433
jgi|Astpho2|2806|Aster-x0132,3.011273576,0.002124467
jgi|Astpho2|2858|Aster-x0135,1.472258279,0.00852155
jgi|Astpho2|2859|e_gw1.00050.244.1_t,3.415317568,0.008317743
jgi|Astpho2|3032|Aster-03340,0.758364931,0.001485795
jgi|Astpho2|3112|Aster-03400,0.153853809,0.008613785
jgi|Astpho2|3156|gw1.00051.244.1_t,3.796371248,0.004128928
jgi|Astpho2|3191|Aster-x1130,3.716947889,0.007090041
jgi|Astpho2|3276|Aster-08041,2.31338643,0.001714299
jgi|Astpho2|3385|Aster-x0158,3.726801393,0.00018669
jgi|Astpho2|3428|Aster-x1147,0.352599415,0.000433859
jgi|Astpho2|3433|gw1.00055.25.1_t,4.653134155,0.008797719
jgi|Astpho2|3451|gw1.00055.11.1_t,3.543345554,0.000560649
jgi|Astpho2|3504|Aster-06418,0.981815583,0.006453698
jgi|Astpho2|3768|Aster-x0589,2.102585378,0.002249365
jgi|Astpho2|3848|Aster-04363,3.254693127,0.00678723
jgi|Astpho2|3996|e_gw1.00063.318.1_t,2.751387415,0.006470655
jgi|Astpho2|4021|e_gw1.00063.214.1_t,1.490716102,0.003660832
jgi|Astpho2|4246|Aster-05201,0.232870696,0.009736657
jgi|Astpho2|4309|Aster-07400,0.6616916,0.008610659
jgi|Astpho2|4325|gw1.00065.41.1_t,3.129376569,0.005918658
jgi|Astpho2|4392|gw1.00067.507.1_t,4.334951735,0.008928534
jgi|Astpho2|4510|e_gw1.00067.14.1_t,0.704762432,0.002375134
jgi|Astpho2|3|Aster-07462,4.480352816,0.007524728
jgi|Astpho2|5|gw1.00001.37.1_t,3.771960917,0.001813018
jgi|Astpho2|8|Aster-x0001,4.024944428,0.002273205
jgi|Astpho2|34|gw1.00001.47.1_t,3.342136625,0.009514698
jgi|Astpho2|35|Aster-07488,4.067830495,0.002679929
jgi|Astpho2|37|e_gw1.00001.82.1_t,2.84405474,0.004084539
jgi|Astpho2|47|Aster-x0888,4.671935475,0.007969837
jgi|Astpho2|63|Aster-04538,2.395060544,0.004104696
jgi|Astpho2|66|Aster-04540,0.757469378,0.003115485
jgi|Astpho2|101|Aster-x0424,0.713861819,0.004165864
jgi|Astpho2|116|e_gw1.00004.77.1_t,1.861713154,0.006522358
jgi|Astpho2|120|Aster-04585,3.56309662,0.008125275
jgi|Astpho2|124|e_gw1.00004.101.1_t,2.666722483,0.002895778
jgi|Astpho2|129|gw1.00004.161.1_t,4.564761409,0.003244982
